NumberOfThreads,FinalCounter,TotalTime,AvgCountPerThread,AvgTimePer1000000
2,2000000,57764065,1000000,28882032
2,2000000,61615545,1000000,30807772
2,2000000,57826227,1000000,28913113
2,2000000,65967223,1000000,32983611
2,2000000,62669960,1000000,31334980
2,2000000,68288369,1000000,34144184
2,2000000,74513019,1000000,37256509
2,2000000,58822868,1000000,29411434
2,2000000,46233185,1000000,23116592
2,2000000,46215076,1000000,23107538
2,2000000,60016508,1000000,30008254
2,2000000,63220284,1000000,31610142
2,2000000,61582159,1000000,30791079
2,2000000,41306159,1000000,20653079
2,2000000,73927194,1000000,36963597
2,2000000,52274074,1000000,26137037
2,2000000,50885571,1000000,25442785
2,2000000,63470336,1000000,31735168
2,2000000,57695945,1000000,28847972
2,2000000,62378188,1000000,31189094
4,4000000,186128350,1000000,46532087
4,4000000,150469106,1000000,37617276
4,4000000,173431596,1000000,43357899
4,4000000,209628400,1000000,52407100
4,4000000,205885201,1000000,51471300
4,4000000,178883256,1000000,44720814
4,4000000,231577256,1000000,57894314
4,4000000,186559318,1000000,46639829
4,4000000,231714425,1000000,57928606
4,4000000,265957941,1000000,66489485
4,4000000,203899681,1000000,50974920
4,4000000,209448364,1000000,52362091
4,4000000,175454747,1000000,43863686
4,4000000,203055981,1000000,50763995
4,4000000,227787223,1000000,56946805
4,4000000,215068324,1000000,53767081
4,4000000,232048489,1000000,58012122
4,4000000,218370786,1000000,54592696
4,4000000,187435916,1000000,46858979
4,4000000,238177426,1000000,59544356
8,8000000,251947073,1000000,31493384
8,8000000,379354455,1000000,47419306
8,8000000,516841333,1000000,64605166
8,8000000,505381619,1000000,63172702
8,8000000,534761011,1000000,66845126
8,8000000,570272898,1000000,71284112
8,8000000,622580548,1000000,77822568
8,8000000,518088301,1000000,64761037
8,8000000,485794021,1000000,60724252
8,8000000,461206211,1000000,57650776
8,8000000,549596842,1000000,68699605
8,8000000,411457496,1000000,51432187
8,8000000,531954834,1000000,66494354
8,8000000,490718454,1000000,61339806
8,8000000,512580338,1000000,64072542
8,8000000,453971561,1000000,56746445
8,8000000,450683874,1000000,56335484
8,8000000,478477267,1000000,59809658
8,8000000,513469554,1000000,64183694
8,8000000,433083927,1000000,54135490
16,16000000,902597194,1000000,56412324
16,16000000,697313884,1000000,43582117
16,16000000,1007202751,1000000,62950171
16,16000000,1107832365,1000000,69239522
16,16000000,914886387,1000000,57180399
16,16000000,956967328,1000000,59810458
16,16000000,1182649810,1000000,73915613
16,16000000,819399009,1000000,51212438
16,16000000,992836654,1000000,62052290
16,16000000,721017294,1000000,45063580
16,16000000,1007276930,1000000,62954808
16,16000000,1096666813,1000000,68541675
16,16000000,1079924157,1000000,67495259
16,16000000,1052268544,1000000,65766784
16,16000000,961277570,1000000,60079848
16,16000000,1104690278,1000000,69043142
16,16000000,958303727,1000000,59893982
16,16000000,952915748,1000000,59557234
16,16000000,942142771,1000000,58883923
16,16000000,1076776559,1000000,67298534
32,32000000,1825285590,1000000,57040174
32,32000000,1469632085,1000000,45926002
32,32000000,2099272670,1000000,65602270
32,32000000,2521538397,1000000,78798074
32,32000000,2204328683,1000000,68885271
32,32000000,2053030836,1000000,64157213
32,32000000,2311922264,1000000,72247570
32,32000000,1897295017,1000000,59290469
32,32000000,2225957280,1000000,69561165
32,32000000,2409722064,1000000,75303814
32,32000000,2244710654,1000000,70147207
32,32000000,2307828646,1000000,72119645
32,32000000,2528800728,1000000,79025022
32,32000000,2398220145,1000000,74944379
32,32000000,2264480717,1000000,70765022
32,32000000,2310397100,1000000,72199909
32,32000000,2088767208,1000000,65273975
32,32000000,2137907334,1000000,66809604
32,32000000,2187528855,1000000,68360276
32,32000000,2425331555,1000000,75791611
