NumberOfThreads,FinalCounter,TotalTime,AvgCountPerThread,AvgTimePer1000000
2,1000287,10690553,500143,5345276
2,979770,5278095,489885,2639047
2,2000000,1127363,1000000,563681
2,2000000,708004,1000000,354002
2,2000000,428946,1000000,214473
2,2000000,579789,1000000,289894
2,2000000,822508,1000000,411254
2,2000000,316376,1000000,158188
2,1836945,445581,918472,222790
2,1600289,281366,800144,140683
2,1616001,363937,808000,181968
2,2000000,353857,1000000,176928
2,2000000,318274,1000000,159137
2,2000000,332986,1000000,166493
2,1991889,303441,995944,151720
2,2000000,326073,1000000,163036
2,2000000,411314,1000000,205657
2,1961809,369631,980904,184815
2,1943457,429909,971728,214954
2,2000000,482287,1000000,241143
4,1840153,55755321,460038,13938830
4,3841337,642709,960334,160677
4,3010349,887141,752587,221785
4,2763612,824085,690903,206021
4,2238443,927244,559610,231811
4,4000000,500357,1000000,125089
4,3454514,565720,863628,141430
4,3132450,392290,783112,98072
4,4000000,415986,1000000,103996
4,3105362,397690,776340,99422
4,3438003,413437,859500,103359
4,3467954,394322,866988,98580
4,3814561,464524,953640,116131
4,3219090,514580,804772,128645
4,3351954,478553,837988,119638
4,3535425,447743,883856,111935
4,3536610,469940,884152,117485
4,3822530,444948,955632,111237
4,2758418,443460,689604,110865
4,3920385,466844,980096,116711
8,3700117,83989630,462514,10498703
8,7150227,1059406,893778,132425
8,7510354,782559,938794,97819
8,7507523,739155,938440,92394
8,7621171,721071,952646,90133
8,7567139,711041,945892,88880
8,7603492,674350,950436,84293
8,7814755,873761,976844,109220
8,7546835,639258,943354,79907
8,7306739,693609,913342,86701
8,6373811,875581,796726,109447
8,7414180,674618,926772,84327
8,8000000,980781,1000000,122597
8,7255138,791284,906892,98910
8,7089315,918109,886164,114763
8,7378194,1047420,922274,130927
8,7913249,818234,989156,102279
8,7562532,968527,945316,121065
8,6959220,782263,869902,97782
8,7243428,840192,905428,105024
16,9614076,123771059,600879,7735691
16,15930449,3385664,995653,211604
16,15547025,2383822,971689,148988
16,14566468,1873121,910404,117070
16,15131187,1609042,945699,100565
16,14301125,1604275,893820,100267
16,14799321,1354494,924957,84655
16,13981034,1219912,873814,76244
16,12194458,1194703,762153,74668
16,15078706,2210476,942419,138154
16,13915029,2050422,869689,128151
16,15610497,1615172,975656,100948
16,15525044,4041206,970315,252575
16,15729347,1637744,983084,102359
16,15156708,1868574,947294,116785
16,15301283,2675227,956330,167201
16,14786993,2181329,924187,136333
16,16000000,2011449,1000000,125715
16,14510756,1891163,906922,118197
16,13816918,1757779,863557,109861
32,21420771,81836299,669399,2557384
32,27697938,2399124,865560,74972
32,23989461,2112039,749670,66001
32,27464322,2270085,858260,70940
32,23316566,2150826,728642,67213
32,26176194,2278510,818006,71203
32,24261251,3810272,758164,119071
32,28241294,3299128,882540,103097
32,30123816,3192667,941369,99770
32,27969164,3327665,874036,103989
32,28323950,2882884,885123,90090
32,25584210,2502066,799506,78189
32,27412992,3004556,856656,93892
32,25625716,2098454,800803,65576
32,25497512,2124406,796797,66387
32,26254963,2270427,820467,70950
32,28940939,3087607,904404,96487
32,24645817,1857518,770181,58047
32,23484717,1685921,733897,52685
32,22784941,1676512,712029,52391
